val,type,col1
602353: Benešov,KU,Benešov [Pelhřimov] (kód kú: 602353)
602361: Benešov u Boskovic,KU,Benešov u Boskovic [Blansko] (kód kú: 602361)
612812: Benešov u Broumova,KU,Benešov u Broumova [Náchod] (kód kú: 612812)
602191: Benešov u Prahy,KU,Benešov u Prahy [Benešov] (kód kú: 602191)
602477: Benešov u Semil,KU,Benešov u Semil [Semily] (kód kú: 602477)
602515: Benešova Hora,KU,Benešova Hora [Prachatice] (kód kú: 602515)
602531: Benešovice,KU,Benešovice [Tachov] (kód kú: 602531)
609871: Benešovice u Přelouče,KU,Benešovice u Přelouče [Pardubice] (kód kú: 609871)
735728: Benešovice u Všelibic,KU,Benešovice u Všelibic [Liberec] (kód kú: 735728)
602566: Benetice,KU,Benetice [Třebíč] (kód kú: 602566)
700177: Benetice u Světlé nad Sázavou,KU,Benetice u Světlé nad Sázavou [Havlíčkův Brod] (kód kú: 700177)
602582: Benice,KU,Benice [Hlavní město Praha] (kód kú: 602582)
626635: Benkov,KU,Benkov [Šumperk] (kód kú: 626635)
757454: Benkov u Střelic,KU,Benkov u Střelic [Olomouc] (kód kú: 757454)
602591: Benkovice,KU,Benkovice [Opava] (kód kú: 602591)
602604: Beňov,KU,Beňov [Přerov] (kód kú: 602604)
602621: Beranov,KU,Beranov [Cheb] (kód kú: 602621)
658049: Beranova Lhota,KU,Beranova Lhota [Tábor] (kód kú: 658049)
758990: Beranovec,KU,Beranovec [Jihlava] (kód kú: 758990)
675962: Beranovka,KU,Beranovka [Cheb] (kód kú: 675962)
602647: Bernardov,KU,Bernardov [Kutná Hora] (kód kú: 602647)
602850: Bernartice nad Odrou,KU,Bernartice nad Odrou [Nový Jičín] (kód kú: 602850)
602752: Bernartice,KU,Bernartice [Trutnov] (kód kú: 602752)
608211: Bernartice u Boříkov,KU,Bernartice u Boříkov [Klatovy] (kód kú: 608211)
602655: Bernartice u Dolních Kralovic,KU,Bernartice u Dolních Kralovic [Benešov] (kód kú: 602655)
602825: Bernartice u Javorníka,KU,Bernartice u Javorníka [Jeseník] (kód kú: 602825)
602663: Bernartice u Milevska,KU,Bernartice u Milevska [Písek] (kód kú: 602663)
602701: Bernartice u Stráže,KU,Bernartice u Stráže [Tachov] (kód kú: 602701)
609: PP Bernátka,MZCHU,Bernátka [PP] (kód ÚSOP: 609)
702609: Bernov,KU,Bernov [Karlovy Vary] (kód kú: 702609)
602868: Beroun,KU,Beroun [Beroun] (kód kú: 602868)
754684: Beroun u Starého Sedla,KU,Beroun u Starého Sedla [Cheb] (kód kú: 754684)
CZ0323142: Berounka,EVL,Berounka (sitecode: CZ0323142)
603104: Běrunice,KU,Běrunice [Nymburk] (kód kú: 603104)
603112: Běruničky,KU,Běruničky [Nymburk] (kód kú: 603112)
603180: Běřín,KU,Běřín [Příbram] (kód kú: 603180)
603201: Beřovice,KU,Beřovice [Kladno] (kód kú: 603201)
667251: Besedice,KU,Besedice [Jablonec nad Nisou] (kód kú: 667251)
603210: Besednice,KU,Besednice [Český Krumlov] (kód kú: 603210)
1790: PP Besednické Vltavíny I,MZCHU,Besednické Vltavíny I [PP] (kód ÚSOP: 1790)
82: CHKO Beskydy,VZCHU,Beskydy [CHKO] (kód ÚSOP: 82)
CZ0724089: Beskydy,EVL,Beskydy (sitecode: CZ0724089)
CZ0811022: Beskydy,PO,Beskydy (sitecode: CZ0811022)
756989: Běsno,KU,Běsno [Louny] (kód kú: 756989)
603236: Běstovice,KU,Běstovice [Ústí nad Orlicí] (kód kú: 603236)
CZ0533684: Běstvina - krypta,EVL,Běstvina - krypta (sitecode: CZ0533684)
603244: Běstvina,KU,Běstvina [Chrudim] (kód kú: 603244)
CZ0533295: Běstvina,EVL,Běstvina (sitecode: CZ0533295)
627577: Běstviny,KU,Běstviny [Rychnov nad Kněžnou] (kód kú: 627577)
2258: PR Běšický chochol,MZCHU,Běšický chochol [PR] (kód ÚSOP: 2258)
CZ0424036: Běšický chochol,EVL,Běšický chochol (sitecode: CZ0424036)
603317: Běšiny,KU,Běšiny [Klatovy] (kód kú: 603317)
603368: Běštín,KU,Běštín [Beroun] (kód kú: 603368)
1452: PP Betlém,MZCHU,Betlém [PP] (kód ÚSOP: 1452)
603376: Bezděčí u Trnávky,KU,Bezděčí u Trnávky [Svitavy] (kód kú: 603376)
603392: Bezděčí u Velkých Opatovic,KU,Bezděčí u Velkých Opatovic [Blansko] (kód kú: 603392)
603431: Bezděčín na Moravě,KU,Bezděčín na Moravě [Jihlava] (kód kú: 603431)
5712: PP Bezděčín,MZCHU,Bezděčín [PP] (kód ÚSOP: 5712)
CZ0213776: Bezděčín,EVL,Bezděčín (sitecode: CZ0213776)
795810: Bezděčín,KU,Bezděčín [Tábor] (kód kú: 795810)
603406: Bezděčín u Jablonce nad Nisou,KU,Bezděčín u Jablonce nad Nisou [Jablonec nad Nisou] (kód kú: 603406)
696579: Bezděčín u Mladé Boleslavi,KU,Bezděčín u Mladé Boleslavi [Mladá Boleslav] (kód kú: 696579)
